text,category
,Technology
Streaming giant HBO Max cancels fan-favorite series The Bear,Entertainment
<div>Researchers develop new Quantum Computing that could change the world</div>,technology
Open source project RTX 5090 reaches major milestone,TECHNOLOGY
Serena Williams breaks record for most aces in a season,Sports
New trailer for Barbie 2 breaks internet records,Entertainment
      Senator  Garcia  leads  in  latest  polls  for  Midterms            ,Politics
,POLITICS
Researchers develop new Generative AI that could change the world,Technology
"Inflation hits 5.2% in China, highest in decades",Business
review: dune: part three is a visual masterpiece but lacks heart,Entertainment
      Unknown  announces  world  tour  for  new  album  The  Anthology            ,Entertainment
Popovich resigns after disappointing season for Yankees,Sports
,Technology
merger between apple and netflix approved by regulators,Business
Foreign minister of France visits Italy for talks,Politics
Amazon shares surge after strong Q3 earnings report,Business
Researchers develop new Generative AI that could change the world,Technology
Open source project RTX 5090 reaches major milestone,Technology
Supreme Court to rule on Eduaction Funding case next week,Politics
Australia and Ukraine sign historic peace treaty,politics
New trailer for Barbie 2 breaks internet records,Entertainment
Guardiola resigns after disappointing season for All Blacks,Sports
Intel unveils new iPhone 17 with AI capabilities,Technology
Startup Nvidia raises $50 million in Series B funding,Business
Protests erupt in Berlin over civil rights !!! ??? &amp; #123;,Politics
      Review:  Is  the  new  Vision  Pro  2  worth  the  upgrade?            ,Technology
      Global  markets  react  to  India's  new  trade  policy            ,Business
      Google  shares  surge  after  strong  Q3  earnings  report            ,BUSINESS
"Inflation hits 7.8% in Germany, highest in decades",Business
Cybersecurity breach at Intel exposes millions of records,technology
Seante passes new bill on Healthcare Reform despite opposition,Politics
Streaming giant Hulu cancels fan-favorite series The Last of Us,Entertainment
Cryptocurrency Ethereum hits new all-time high,Business
<div>Cristiano Ronaldo breaks record for most wickets in a season</div>,Sports
Top 10 moments from the Champions League this weekend,Sports
France and Mexico sign hsitoric peace treaty,Politics
Injury update: LeBron James to miss upcoming match against All Blacks,Sports
Streaming giant HBO Max cancels fan-favorite series Succession,Entertainment
New trailer for Avengers 5 breaks internet records !!! ??? &amp; #123;,ENTERTAINMENT
INJURY UPDATE: LIONEL MESSI TO MISS UPCOMING MATCH AGAINST ALL BLACKS,Sports
Protests erupt in Berlin over environmental regulations,Politics
      Review:  Dune:  Part  Three  is  a  visual  masterpiece  but  lacks  heart            ,Entertainment
<br/>Cillian Murphy wins Best Actor at the Emmys,Entertainment
Unknown announces world tour for new album Midnight Sun,Entertainment
Beyonce and Scarlett Johansson spotted together at Coachella,Entertainment
"Inflation hits 3.1% in UK, highest in decades",Business
Review: Is the new ChatGPT-5 worth the upgrade? !!! ??? &amp; #123;,Technology
President Smith leads in latest polls for Local Elections,Politics
beyonce wins best actor at the grammys,Entertainment
Merger between Tesla and Toyota approved by regulators,Business
<b>New trailer for Barbie 2 breaks internet records</b>,Entertainment
Startup Google raises $50 million in Series B funding,Business
      Box  office:  Dune:  Part  Three  surpasses  $1  billion  mark  worldwide            ,Entertainment
The future of Fusion Energy: What to expect in 2026,Technology
Protests erupt in Berlin over environmental regulations,Politics
Cryptocurrency Bitcoin hits new all-time high,Business
Open source project RTX 5090 reaches major milestone,Technology
South Korea and Mexico sign historic peace treaty,Politics
      Review:  Avengers  5  is  a  visual  masterpiece  but  lacks  heart            ,Entertainment
All Blacks wins Wimbledon in a thrilling final,Sports
researchers develop new fusion energy that could change the world,technology
Controversy at Wimbledon as referee makes bold call,Sports
Popovich resigns after disappointing season for Yankees,Sports
Meta shares surge after strong Q3 earnings report,Business
Startup Apple raises $1000 million in Series B funding,Business
      Taylor  Swift  and  Timothee  Chalamet  spotted  together  at  Fashion  Week            ,Entertainment
<br/>Review: Inception 2 is a visual masterpiece but lacks heart,Entertainment
Open source project iPhone 17 reaches major milestone,Technology
Supreme Court to rule on Education Funding case next week !!! ??? &amp; #123;,Politics
Supreme Court to rule on Tax Cuts case next week,Politics
Serena Williams breaks record for most points in a season,Sports
Real Madrid signs Lionel Messi for record-breaking fee,Sports
AMD UNVEILS NEW IPHONE 17 WITH AI CAPABILITIES,Technology
Senate passes new bill on Education Funding despite opposition,Politics
Streaming giant Hulu cancels fan-favorite series Stranger Things,Entertainment
THE FUTURE OF FUSION ENERGY: WHAT TO EXPECT IN 2026,Technology
,Entertainment
<p>How Fusion Energy is transforming the Automotive industry</p>,Technology
"Inflation hits 7.8% in USA, highest in decades",Business
RESEARCHERS DEVELOP NEW QUANTUM COMPUTING THAT COULD CHANGE THE WORLD,Technology
The future of Generative AI: What to expect in 2026,Technology
New trailer for Barbie 2 breaks internet records,Entertainment
